(108L, 17L, 'CATEGORIA ', None, None, 'A', 1, None, Decimal('2.00'), Decimal('1.00'), Decimal('0.00'), Decimal('1.00'), Decimal('0.00'), Decimal('2.00'), Decimal('2.00'), Decimal('0.00'), Decimal('3.00'), Decimal('1.00'), Decimal('1.00'), Decimal('0.00'), Decimal('3.00'), Decimal('2.00'), Decimal('0.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'))
(109L, 17L, 'DAP       ', Decimal('36.71'), Decimal('100.00'), 'A', 2, 0, Decimal('14.50'), Decimal('31.00'), Decimal('0.00'), Decimal('18.00'), Decimal('0.00'), Decimal('14.50'), Decimal('15.00'), Decimal('0.00'), Decimal('9.00'), Decimal('20.00'), Decimal('23.00'), Decimal('0.00'), Decimal('16.00'), Decimal('18.00'), Decimal('0.00'), Decimal('0.00'), Decimal('18.00'), Decimal('0.00'), Decimal('18.00'), Decimal('0.00'), Decimal('15.00'), Decimal('0.00'), Decimal('0.00'), Decimal('23.00'), Decimal('0.00'))
(110L, 17L, 'TIPO_FUSTE', None, None, 'A', 3, None, Decimal('2.00'), Decimal('2.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'), Decimal('2.00'), Decimal('2.00'), Decimal('0.00'), Decimal('4.00'), Decimal('2.00'), Decimal('1.00'), Decimal('0.00'), Decimal('2.00'), Decimal('2.00'), Decimal('0.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'), Decimal('1.00'), Decimal('0.00'), Decimal('4.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'))
(118L, 17L, 'GONIPTE   ', Decimal('3.00'), Decimal('100.00'), 'P', 7, 3, Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'))
(154L, 21L, 'DAP       ', Decimal('31.70'), Decimal('100.00'), 'A', 2, 0, Decimal('22.00'), Decimal('28.00'), Decimal('0.00'), Decimal('25.00'), Decimal('0.00'), Decimal('22.00'), Decimal('14.00'), Decimal('0.00'), Decimal('0.00'), Decimal('7.00'), Decimal('14.50'), Decimal('7.00'), Decimal('8.00'), Decimal('1.50'), Decimal('10.50'), Decimal('3.00'), Decimal('14.50'), Decimal('17.00'), Decimal('12.00'), Decimal('4.00'), Decimal('17.00'), Decimal('0.00'), Decimal('12.00'), Decimal('10.00'), Decimal('16.00'))
(116L, 17L, 'BROTEPI   ', Decimal('2.00'), Decimal('100.00'), 'O', 5, 2, Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'))
(117L, 17L, 'EXU       ', Decimal('3.00'), Decimal('100.00'), 'O', 6, 3, Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'))
(119L, 17L, 'PUCCINIA  ', Decimal('2.90'), Decimal('95.24'), 'E', 8, 3, Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('1.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'))
(120L, 17L, 'PATO FOLI ', Decimal('2.00'), Decimal('100.00'), 'E', 9, 2, Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'))
(121L, 18L, 'CATEGORIA ', None, None, 'A', 1, None, Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('0.00'), Decimal('0.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('0.00'), Decimal('0.00'), Decimal('2.00'), Decimal('2.00'), Decimal('0.00'), Decimal('0.00'), Decimal('2.00'))
